Scan,Afiliativa,Beber,Comer,Cuidado corporal,Descanso,Exploraci贸n,Locomoci贸n,Locomoci贸n cola,Rumiaci贸n
1,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2,0.125,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0
4,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
5,0.0,0.0,0.75,0.125,0.125,0.0,0.0,0.0,0.0
6,0.0,0.375,0.5,0.0,0.0,0.0,0.125,0.0,0.0
7,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
8,0.0,0.0,0.6153846153846154,0.0,0.0,0.38461538461538464,0.0,0.0,0.0
9,0.0,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0
10,0.0,0.0,0.21428571428571427,0.0,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
11,0.0,0.0,0.5,0.0,0.08333333333333333,0.25,0.0,0.16666666666666666,0.0
12,0.0,0.23076923076923078,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.0,0.23076923076923078,0.07692307692307693
